synopsis,rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio
"From filmmaker Andrew Stanton comes John Carter-a sweeping action-adventure set on the mysterious and exotic planet of Barsoom (Mars). John Carter is based on a classic novel by Edgar Rice Burroughs, whose highly imaginative adventures served as inspiration for many filmmakers, both past and present. The film tells the story of war-weary, former military captain John Carter (Taylor Kitsch), who is inexplicably transported to Mars where he becomes reluctantly embroiled in a conflict of epic proportions amongst the inhabitants of the planet, including Tars Tarkas (Willem Dafoe) and the captivating Princess Dejah Thoris (Lynn Collins). In a world on the brink of collapse, Carter rediscovers his humanity when he realizes that the survival of Barsoom and its people rests in his hands. -- (C) Walt Disney",PG-13,Action and Adventure|Horror|Kids and Family|Science Fiction and Fantasy,Andrew Stanton|Mark Atkins,Mark Atkins|Mark Andrews|Michael Chabon|Andrew Stanton,2012-03-09,"Jun 5, 2012",$,"73,058,679",118 minutes,Walt Disney Pictures
"Ever since his wife was burned in a car crash, Dr. Robert Ledgard, an eminent plastic surgeon, has been interested in creating a new skin with which he could have saved her. After twelve years, he manages to cultivate a skin that is a real shield against every assault. In addition to years of study and experimentation, Robert needed a further three things: no scruples, an accomplice and a human guinea pig. Scruples were never a problem. Marilia, the woman who looked after him from the day he was born, is his most faithful accomplice. And as for the human guinea pig...-- (C) Sony",R,Art House and International|Drama|Mystery and Suspense,,,2011-10-14,"Mar 6, 2012",$,"3,185,193",117 minutes,Sony Pictures Classics
"A group of scientific researchers on a space station attempt to harness a new energy source called the ""God Particle,"" only to unleash something terrifying. Julius Onah (The Girl Is in Trouble) directed this sci-fi thriller, which stars Gugu Mbatha-Raw, David Oyelowo, Daniel Br",NR,Mystery and Suspense|Science Fiction and Fantasy,Julius Onah,Oren Uziel,2018-02-04,"Feb 5, 2019",,,,
"Alice Howland, happily married with three grown children, is a renowned linguistics professor who starts to forget words. When she receives a diagnosis of Early-Onset Alzheimer's Disease, Alice and her family find their bonds thoroughly tested. Her struggle to stay connected to who she once was is frightening, heartbreaking, and inspiring.(C) Sony Classics",PG-13,Drama,Richard Glatzer|Wash Westmoreland,Wash Westmoreland|Richard Glatzer,2015-01-16,"May 12, 2015",,,99 minutes,Sony Pictures Classics
"The Dressmaker tells the story of the beautiful and talented Tilly Dunnage (Academy Award winner Kate Winslet). After years working as a dressmaker in exclusive Parisian fashion houses, Tilly returns home to a town in the Australian outback to reconcile with her eccentric mother Molly (Academy Award nominee Judy Davis). She also falls in love with the pure-hearted Teddy (Liam Hemsworth), and armed with her sewing machine and haute couture style, Tilly transforms the women of the town, exacting sweet revenge on those who did her wrong",R,Drama,Jocelyn Moorhouse,,2016-09-23,"Dec 27, 2016",$,"2,021,399",118 minutes,
"In the highly anticipated sequel, which was inspired by Steve Harvey's best-selling book Act Like a Lady, Think Like A Man, all the couples are back for a wedding in Las Vegas. But plans for a romantic weekend go awry when their various misadventures get them into some compromising situations that threaten to derail the big event. (c) Sony",PG-13,Comedy|Romance,Tim Story,,2014-06-20,"Sep 16, 2014",,,106 minutes,Sony Pictures
"The Girl with the Dragon Tattoo is the first film in Columbia Pictures' three-picture adaptation of Stieg Larsson's literary blockbuster The Millennium Trilogy. Directed by David Fincher and starring Daniel Craig and Rooney Mara, the film is based on the first novel in the trilogy, which altogether have sold 50 million copies in 46 countries and become a worldwide phenomenon. -- (C) Sony",R,Drama|Mystery and Suspense,David Fincher,Steven Zaillian,2011-12-20,"Mar 20, 2012",$,"102,515,793",157 minutes,Sony Pictures
"Soon after a rising young singer-songwriter (Hedlund) gets involved with a fallen, emotionally unstable country star (Paltrow), the pair embarks on a career resurrection tour helmed by her husband/manager (McGraw) and featuring a beauty-queen-turned-singer (Meester). Between concerts, romantic entanglements and old demons threaten to derail them all. -- (C) Columbia",PG-13,Drama|Musical and Performing Arts,Shana Feste,Shana Feste,2011-01-07,"Apr 12, 2011",$,"20,218,921",112 minutes,
"Trying to reverse a family curse, brothers Jimmy (Channing Tatum) and Clyde Logan (Adam Driver) set out to execute an elaborate robbery during the legendary Coca-Cola 600 race at the Charlotte Motor Speedway.",PG-13,Comedy,Steven Soderbergh,Rebecca Blunt,2017-08-18,"Nov 28, 2017",$,"27,696,504",119 minutes,Fingerprint Releasing / Bleecker Street
"In Skyfall, Bond's loyalty to M is tested as her past comes back to haunt her. As MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost. -- (C) Official Site",PG-13,Action and Adventure|Mystery and Suspense,Sam Mendes,John Logan|Robert Wade|Neal Purvis,2012-11-09,"Mar 11, 2013",$,"299,300,000",145 minutes,MGM
"Since they met at a party, ambitious high-flyer Nat and struggling novelist Josh have been deliriously happy despite their differences. Josh is a thinker, Nat's a doer..but the spark between them is undeniable. Their wedding is a dream come true, but family, friends and even the minister who marries them aren't convinced that they can last. Josh's ex-girlfriend, Chloe, and Nat's handsome American client Guy, could offer attractive alternatives. With their first anniversary approaching, neither wants to be the first to give up, but will they make it? (c) Magnolia",R,Art House and International|Comedy|Romance,Dan Mazer,Dan Mazer,2013-08-09,"Oct 22, 2013",$,"5,851,913",97 minutes,Magnolia Pictures
"In the heatwarming live action adventure ""Disney's Christopher Robin,"" the young boy who loved embarking on adventures in the Hundred Acre Wood with a band of spirited and loveable stuffed animals, has grown up and lost his way. Now it is up to his childhood friends to venture into our world and help Christopher Robin remember the loving and playful boy who is still inside.",PG,Action and Adventure|Comedy|Kids and Family,Marc Forster,Alex Ross Perry,2018-08-03,"Nov 6, 2018",,,,Walt Disney Pictures
"The third installment of director Edgar Wright's trilogy of comedies starring Simon Pegg and Nick Frost, following the successes ""Shaun of the Dead"" (2004) and ""Hot Fuzz"" (2007). In ""The World's End,"" 20 years after attempting an epic pub crawl, five childhood friends reunite when one of them becomes hellbent on trying the drinking marathon again. They are convinced to stage an encore by Gary King (Simon Pegg), a 40-year-old man trapped at the cigarette end of his teens, who drags his reluctant pals to their hometown and once again attempts to reach the fabled pub - The World's End. As they attempt to reconcile the past and present, they realize the real struggle is for the future, not just theirs but humankind's. Reaching The World's End is the least of their worries. (c) Focus Features",R,Comedy,Edgar Wright,Edgar Wright|Simon Pegg,2013-08-23,"Nov 19, 2013",$,"33,408,732",109 minutes,Focus Features
"Featuring an all-star comedy cast including Aubrey Plaza, Johnny Simmons, Bill Hader,Alia Shawkat, Sarah Steele, Rachel Bilson, Christopher Mintz-Plasse, DonaldGlover, Scott Porter, Andy Samberg, Connie Britton and Clark Gregg, ""The To Do List"" is a comedy about close friends and a special summer project, loosely inspired by the real-life adventures of first-time writer/director Maggie Carey. Set in 1993, valedictorian Brandy Klark wants to shed her uptight image before college, so she assembles a to do list of all the ""activities"" she missed out on in high school. Quickly realizing that she's way out of her depth, Brandy solicits her best friends, older sister and burnt-out boss for their help and advice. If the group is going to complete the list by September they'll need plenty of imagination and very open minds. (c) CBS Films",R,Comedy,Maggie Carey,Maggie Carey,2013-07-26,"Nov 19, 2013",$,"3,400,000",104 minutes,CBS Films
"Based on his a true story, THE RIDER stars breakout Brady Jandreau as a once rising star of the rodeo circuit warned that his competition days are over after a tragic riding accident. Back home, Brady finds himself wondering what he has to live for when he can no longer do what gives him a sense of purpose: to ride and compete. In an attempt to regain control of his fate, Brady undertakes a search for new identity and tries to redefine his idea of what it means to be a man in the heartland of America.",R,Drama,,,2018-04-13,"Aug 7, 2018",,,104 minutes,Sony Pictures Classics
"A man who acknowledges a side of himself he's kept hidden for decades must decide between love, loyalty, and faith in this drama from filmmaker Haim Tabakman set in Jerusalem. Aaron (Zohar Strauss) is an orthodox Jew in his mid-thirties who helps run a kosher butcher shop opened by his father. Aaron is married to Rivka (Ravit ""Tinkerbell"" Rozen) and they have four sons, but he often feels something is missing from his life. One day, a 19-year-old yeshiva student, Ezri (Ran Danker), stops by the shop; when Aaron learns Ezri is homeless, he offers to make the youngster his apprentice and gives him a room. Aaron and Ezri strike up a fast friendship, but in time their feelings become deeper, and during a communal bath they act on the desires that have been growing between them. Aaron finds himself torn between his loyalty to his family and his growing love for Ezri, and his dilemma becomes even more pointed when Rabbi Vaisben (Tzahi Grad) asks him to join him in his ""Purity Police"" group, who pay threatening visits to people in the community who are falling short in the eyes of the congregation. Einaym Pkuhot (aka Eyes Wide Open) was an official selection at the 2009 Cannes Film Festival, where it was screened as part of the ""Un Certain Regard"" program.",NR,Art House and International|Drama|Romance,Haim Tabakman,Merav Doster,2010-02-05,"Nov 16, 2010",$,"463,914",91 minutes,Regent Releasing
"The modern world holds many secrets, but the most astounding secret of all is that witches still live amongst us; vicious supernatural creatures intent on unleashing the Black Death upon the world. Armies of witch hunters battled the unnatural enemy across the globe for centuries, including KAULDER, a valiant warrior who managed to slay the all-powerful QUEEN WITCH, decimating her followers in the process. In the moments right before her death, the QUEEN curses KAULDER with her own immortality, forever separating him from his beloved wife and daughter in the afterlife. Today KAULDER is the only one of his kind remaining, and has spent centuries hunting down rogue witches, all the while yearning for his long-lost loved ones. However, unbeknownst to KAULDER, the QUEEN WITCH is resurrected and seeks revenge on her killer causing an epic battle that will determine the survival of the human race. (C) Summit",PG-13,Action and Adventure|Science Fiction and Fantasy,Breck Eisner,Matt Sazama|Burk Sharpless|Cory Goodman,2015-10-23,"Feb 2, 2016",,,105 minutes,Summit Entertainment.
"Rango is a sheltered chameleon living as an ordinary family pet, while facing a major identity crisis. After all, how high can you aim when your whole purpose in life is to blend in? When Rango accidentally winds up in the gritty, gun-slinging town of Dirt - a lawless outpost populated by the desert's most wily and whimsical creatures - the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt... -- (C) Paramount",PG,Action and Adventure|Animation|Kids and Family,Gore Verbinski,John Logan,2011-03-04,"Jul 15, 2011",$,"123,188,232",107 minutes,Paramount Pictures
"In a contemporary adaptation of Langston Hughes' celebrated play, the holiday musical drama BLACK NATIVITY follows Langston (Jacob Latimore), a street-wise teen from Baltimore raised by a single mother, as he journeys to New York City to spend the Christmas holiday with his estranged relatives Reverend Cornell and Aretha Cobbs (Forest Whitaker and Angela Bassett). Unwilling to live by the imposing Reverend Cobbs' rules, a frustrated Langston is determined to return home to his mother, Naima (Jennifer Hudson). Langston embarks on a surprising and inspirational journey and along with new friends, and a little divine intervention, he discovers the true meaning of faith, healing, and family. (c) Fox Searchlight",PG,Drama|Musical and Performing Arts|Faith and Spirituality,Kasi Lemmons,Kasi Lemmons,2013-11-27,"Apr 15, 2014",$,"4,894,004",92 minutes,Fox Searchlight
"On V.E. Day in 1945, as peace extends across Europe, Princesses Elizabeth and Margaret are allowed out to join the celebrations. It is a night full of excitement, danger and the first flutters of romance.",PG-13,Art House and International|Drama|Mystery and Suspense|Romance,Julian Jarrold,Trevor De Silva|Kevin Hood,2015-12-04,"May 3, 2016",$,"1,626,909",97 minutes,
"In this darkly erotic drama from cult filmmaker Jeanne Labrune, Isabelle Huppert stars as a high-class prostitute named Alice who serves up sexual fantasies for her clientele, from schoolgirl innocence to S&amp;M.; Fed up with the seamy underbelly of French masculinity, Alice crosses paths with Xavier, a neurotic psychoanalyst facing a marriage crisis. The two quickly realize their professions share a thing or two in common as they navigate the overlapping worlds of psychotherapy and sex therapy. -- (C) First Run Features",NR,Art House and International|Drama,Jeanne Labrune,Jeanne Labrune|Richard Debuisne,2011-08-26,"Jan 17, 2012",$,"8,856",95 minutes,First Run Features
"Texas brothers--Toby (Chris Pine), and Tanner (Ben Foster), come together after years divided to rob branches of the bank threatening to foreclose on their family land. For them, the hold-ups are just part of a last-ditch scheme to take back a future that seemed to have been stolen from under them. Justice seems to be theirs, until they find themselves on the radar of Texas Ranger, Marcus (Jeff Bridges) looking for one last grand pursuit on the eve of his retirement, and his half-Comanche partner, Alberto (Gil Birmingham). As the brothers plot a final bank heist to complete their scheme, and with the Rangers on their heels, a showdown looms at the crossroads where the values of the Old and New West murderously collide.",R,Drama|Mystery and Suspense,David Mackenzie,Taylor Sheridan,2016-08-12,"Nov 22, 2016",$,"26,973,524",102 minutes,Film 44
"Director Alexander Payne (Sideways, The Descendants) takes the helm for this black and white road trip drama starring Bruce Dern as a tempestuous Missouri father who's convinced he's won a million dollar magazine sweepstakes, and Will Forte as the son who grudgingly agrees to drive him to Nebraska to claim his winnings. Bob Odenkirk and Stacy Keach costar.",R,Drama,Alexander Payne,Bob Nelson,2013-11-15,"Feb 25, 2014",$,"11,348,612",115 minutes,Paramount Pictures
"Famed action director Dante Lam returns with this explosive follow-up to his 2016 box office smash OPERATION MEKONG. When a terrorist plot to obtain nuclear materials is hidden under the cover of a violent coup, only the Chinese Navy's elite Jiaolong Assault Team have the deadly skill and precision needed to take on the situation.",NR,Action and Adventure,Dante Lam,Ji Feng,2018-02-23,"Jul 24, 2018",$,"1,526,248",141 minutes,
"James White (Christopher Abbott) is a troubled twenty-something trying to stay afloat in a frenzied New York City. He retreats further into a self-destructive, hedonistic lifestyle, but as his mother (Cynthia Nixon) battles a serious illness James is forced to take control of his life. As the pressure on him mounts, James must find new reserves of strength or risk imploding completely. The directorial debut of MARTHA MARCY MAY MARLENE producer Josh Mond, JAMES WHITE, which had its world premiere at Sundance Film Festival 2014 where it was the winner of the ""Best of Next"" Audience Award, is a confident and closely observed debut that explores loss and the deep relationship between a mother and son. Abbott's strong central performance is aided by a stellar supporting cast featuring Cynthia Nixon (""Sex and the City""), Scott ""Kid Cudi"" Mescudi (""Comedy Bang",R,Drama,Josh Mond,Josh Mond,2015-11-13,"Mar 22, 2016",$,"101,368",85 minutes,The Film Arcade
"In the early evening of August 21, 2015, the world watched in stunned silence as the media reported a thwarted terrorist attack on Thalys train",PG-13,Drama,Clint Eastwood,Dorothy Blyskal,2018-02-09,"May 22, 2018",$,"35,003,216",120 minutes,
"I ORIGINS, the second feature film from writer and director Mike Cahill, tells the story of Dr. Ian Gray (Michael Pitt), a molecular biologist studying the evolution of the eye. He finds his work permeating his life after a brief encounter with an exotic young woman (Astrid Berg",R,Drama|Science Fiction and Fantasy,Mike Cahill,Mike Cahill,2014-07-18,"Dec 9, 2014",,,107 minutes,Fox Searchlight
"During the winter of 1952, British authorities entered the home of mathematician, cryptanalyst and war hero Alan Turing (Benedict Cumberbatch) to investigate a reported burglary. They instead ended up arresting Turing himself on charges of 'gross indecency', an accusation that would lead to his devastating conviction for the criminal offense of homosexuality - little did officials know, they were actually incriminating the pioneer of modern-day computing. Famously leading a motley group of scholars, linguists, chess champions and intelligence officers, he was credited with cracking the so-called unbreakable codes of Germany's World War II Enigma machine. An intense and haunting portrayal of a brilliant, complicated man, THE IMITATION GAME follows a genius who under nail-biting pressure helped to shorten the war and, in turn, save thousands of lives. (c) Weinstein",PG-13,Drama|Mystery and Suspense,Morten Tyldum,Graham Moore,2014-11-28,"Mar 31, 2015",,,114 minutes,The Weinstein Company
"Adonis Johnson Creed (Michael B. Jordan), the son of former heavyweight champion Apollo Creed, attempts to follow in his father's footsteps and become a boxing legend in his own right. Apollo died in the ring in the 1980s at the hand of Russian pugilist Ivan Drago, forcing Adonis to grow up without his dad in his life. The young man travels to Philadelphia to find his late father's nemesis-turned-best friend, Rocky Balboa (Sylvester Stallone), in order to recruit him as a trainer. Balboa soon takes the young Creed under his wing and helps him get in shape for a shot at the title. Ryan Coogler directs this spin-off of the hugely successful Rocky franchise.",PG-13,Drama,Ryan Coogler,Ryan Coogler|Aaron Covington,2015-11-25,"Mar 1, 2016",$,"81,157,671",132 minutes,Warner Bros.
"THE EDGE OF SEVENTEEN is a new coming-of-age movie in the vein of Sixteen Candles and The Breakfast Club - an honest, candid, often hilarious look at what it's like to grow up as a young woman in today's modern world. Everyone knows that growing up is hard, and life is no easier for high school junior Nadine (Hailee Steinfeld), who is already at peak awkwardness when her all-star older brother Darian (Blake Jenner) starts dating her best friend Krista (Haley Lu Richardson). All at once, Nadine feels more alone than ever, until the unexpected friendship of a thoughtful boy (Hayden Szeto) gives her a glimmer of hope that things just might not be so terrible after all. The film also stars Kyra Sedgwick as Nadine's well-meaning but completely ineffective mother, and Woody Harrelson as Nadine's History teacher, mentor and reluctant sounding board. The Edge of Seventeen is produced by Academy Award winner James L. Brooks - the filmmaker behind big-screen, character-driven classics such as Terms of Endearment, Broadcast News, Big, Say Anything, The Simpsons, Jerry Maguire and As Good as It Gets.",R,Comedy|Drama,Kelly Fremon Craig,Kelly Fremon Craig,2016-11-18,"Feb 14, 2017",$,"14,260,193",98 minutes,STX Entertainment
"Former cop Brian O'Conner (Paul Walker) partners with ex-con Dom Toretto (Vin Diesel) on the opposite side of the law. Dwayne Johnson joins returning favorites Jordana Brewster, Tyrese Gibson, Chris ""Ludacris"" Bridges, Matt Schulze, Sung Kang, Gal Gadot, Tego Calderon and Don Omar for this ultimate high-stakes race. Since Brian and Mia Toretto (Brewster) broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom. As they assemble their elite team of top racers, the unlikely allies know their only shot of getting out for good means confronting the corrupt businessman who wants them dead. But he's not the only one on their tail. Hard-nosed federal agent Luke Hobbs (Dwayne Johnson) never misses his target. -- (C) Universal",PG-13,Action and Adventure|Drama|Mystery and Suspense,Justin Lin,Chris Morgan,2011-04-29,"Oct 4, 2011",$,"209,805,005",131 minutes,Universal Pictures
"College freshman Adam Buckley sits blindfolded in the back of a van outside of a convenience store as the final step of his initiation into the Sigma Zeta Chi fraternity. Minutes later he finds himself dealing with the fact that a fellow-pledge just got shot while doing it. Frank, the senior fraternity brother in charge of the night's events, is able to get the injured pledge out of the store alive, but the fraternity's troubles are just beginning. Thinking they can get out of the situation without taking the pledge to a hospital, Frank decides the group will handle things themselves. But when every move is met with disaster, Adam must find it within himself to go against Frank and his new brothers in order to save his friend's life. -- (C) Phase 4",R,Drama|Mystery and Suspense,Will Canon,Will Canon|Douglas Simon,2011-02-18,"May 17, 2011",$,"16,632",81 minutes,Phase 4 Films
"In the next exciting chapter of the international phenomenon STEP UP, all-stars from previous installments come together in glittering Las Vegas, battling for a victory that could define their dreams and their careers. (c) Lionsgate",PG-13,Drama|Musical and Performing Arts|Romance,Trish Sie,John Swetnam,2014-08-08,"Nov 4, 2014",$,"13,617,501",112 minutes,Lionsgate
"Adapted from the bestselling novel by author John Green (""The Fault in Our Stars""), PAPER TOWNS is a coming-of-age story centering on Quentin and his enigmatic neighbor Margo, who loved mysteries so much she became one. After taking him on an all-night adventure through their hometown, Margo suddenly disappears--leaving behind cryptic clues for Quentin to decipher. The search leads Quentin and his quick-witted friends on an exhilarating adventure that is equal parts hilarious and moving. Ultimately, to track down Margo, Quentin must find a deeper understanding of true friendship--and true love. (C) Fox",PG-13,Drama,Jake Schreier,,2015-07-24,"Oct 20, 2015",,,109 minutes,20th Century Fox
"For the Tibetan Mastiffs living on Snow Mountain, a dog's life has a simple riff: Guard a peaceful village of wool-making sheep from the thuggish wolf Linnux (Lewis Black) and his rabid pack. To avoid distractions, Mastiff leader Khampa (J.K. Simmons) forbids all music from the mountain. But when Khampa's son Bodi (Luke Wilson) discovers a radio dropped by a passing airplane, it takes just a few guitar licks for his fate to be sealed: Bodi wants to be a rock 'n' roll star. Yet that means defying his father's wishes, heading to the city, and locating the legendary - and reclusive - musician Angus Scattergood (Eddie Izzard), who needs to write a new song and fast. If Bodi can put a band together, help Angus with his song, and defeat the wolves' plot to take Snow Mountain, his life will be in tune. Bodi will become what he's always dreamed of being: More than a dog ... more than a Rock God... he'll be a ROCK DOG",PG,Animation|Comedy|Kids and Family,Ash Brannon,Ash Brannon|Kurt Voelker,2017-02-24,"May 23, 2017",$,"9,404,922",80 minutes,Summit Premiere
"Directed by six-time Academy Award (R) nominee Peter Weir, THE WAY BACK is an epic story of survival, solidarity and indomitable human will. Shot in Bulgaria, Morocco and India, the film stars Jim Sturgess (Across the Universe, The Other Boleyn Girl), Ed Harris (Appaloosa) and Colin Farrell (In Bruges) as prisoners of a Soviet Union labor camp, who, along with four others, flee their Siberian Gulag and begin a treacherous journey across thousands of miles of hostile terrain. Academy Award (R) nominee Saoirse Ronan (Atonement, The Lovely Bones) and Mark Strong (Body of Lies, RocknRolla) co-star. Written by Weir and Keith Clarke, the film is Peter's first since 2003's Master and Commander: The Far Side of the World. It is inspired by the acclaimed book The Long Walk: The True Story of a Trek to Freedom, as well as first-person accounts and anecdotes as told to, and researched by Weir and executive producer Clarke. Produced by Joni Levin, Peter Weir, Duncan Henderson (Master and Commander: The Far Side of the World) and Nigel Sinclair (Terminator 3: Salvation), THE WAY BACK is an Exclusive Media Group, National Geographic Entertainment and ImageNation Abu Dhabi presentation and an Exclusive Films production. Keith Clarke, John Ptak, Guy East, Simon Oakes, Tobin Armbrust, Jake Eberts, Edward Borgerding, Mohamed Khalaf, Adam Leipzig, Scott Rudin and Jonathan Schwartz are Executive Producers. The film's Co-Producer is Roee Sharon Peled and Co-Executive Producer is Alex Brunner. Weir has assembled an accomplished group of filmmakers with whom he has previously collaborated, including Academy Award (R) winning Director of Photography Russell Boyd (Master and Commander, The Year of Living Dangerously, Gallipoli), Film Editor Lee Smith (Master and Commander, as well as The Dark Knight, for which he received an Academy Award (R) nomination), Production Designer John Stoddart (Fearless, The Mosquito Coast) and Costume Designer Wendy Stites, Oscar (R) nominated for Master and Commander and with credits on nine Weir films. -- (C) New Market Films",PG-13,Drama,Peter Weir,,2011-01-21,"Apr 22, 2011",$,"2,500,000",133 minutes,
"In the year 2045, people can escape their harsh reality in the OASIS, an immersive virtual world where you can go anywhere, do anything, be anyone-the only limits are your own imagination. OASIS creator James Halliday left his immense fortune and control of the Oasis to the winner of a contest designed to find a worthy heir. When unlikely hero Wade Watts conquers the first challenge of the reality-bending treasure hunt, he and his friends-known as the High Five-are hurled into a fantastical universe of discovery and danger to save the OASIS and their world.",PG-13,Action and Adventure|Science Fiction and Fantasy,Steven Spielberg,Zak Penn|Ernest Cline,2018-03-29,"Jul 3, 2018",,,140 minutes,Warner Bros. Pictures
"From the team behind Man on Wire comes the story of Nim, the chimpanzee who in the 1970s became the focus of a landmark experiment which aimed to show that an ape could learn to communicate with language if raised and nurtured like a human child. Following Nim's extraordinary journey through human society, and the enduring impact he makes on the people he meets along the way, the film is an unflinching and unsentimental biography of an animal we tried to make human. What we learn about his true nature - and indeed our own - is comic, revealing and profoundly unsettling. -- (C) Roadside Attractions",PG-13,Art House and International|Documentary,James Marsh,,2011-07-08,"Feb 7, 2012",$,"410,077",99 minutes,Roadside Attractions
"First there was an opportunity......then there was a betrayal. Twenty years have gone by. Much has changed but just as much remains the same. Mark Renton returns to the only place he can ever call home.They are waiting for him: Spud, Sick Boy, and Begbie. Other old friends are waiting too: sorrow, loss, joy, vengeance, hatred, friendship, love, longing, fear, regret, diamorphine, self-destruction and mortal danger, they are all lined up to welcome him, ready to join the dance.",R,Drama,Danny Boyle,John Hodge,2017-03-17,"Jun 27, 2017",$,"2,395,410",118 minutes,TriStar Pictures
"The musicians of the Buena Vista Social Club exposed the world to Cuba's vibrant culture with their landmark 1997 album. Now, against the backdrop of Cuba's captivating musical history, hear the band's story as they reflect on their remarkable careers and the extraordinary circumstances that brought them together.",PG,Documentary,Lucy Walker,,2017-05-26,"Sep 12, 2017",$,"118,253",111 minutes,
A group of wealthy boys in Los Angeles during the early 1980s establish a 'get-rich-quick' scam that turns deadly.,R,Drama|Mystery and Suspense,James Cox,Captain Mauzner|James Cox,2018-08-17,"Sep 18, 2018",,,100 minutes,
"Battle of the Year is an international dance crew tournament that attracts all the best teams from around the world, but the Americans haven't won in fifteen years. Los Angeles Hip Hop mogul Dante (Alonso) wants to put the country that started the Sport back on top. He enlists his hard-luck friend Blake (Holloway), who was a championship basketball coach, to coach his team. Armed with the theory that the right coach can make any team champions, they assemble a Dream Team of all the best dancers across the country. With only three months until Battle of the Year, Blake has to use every tactic he knows to get twelve talented individuals to come together as a team if they're going to bring the Trophy back to America where it started. (c) Screen Gems",PG-13,Drama|Musical and Performing Arts|Special Interest,Benson Lee,,2013-09-20,"Dec 10, 2013",$,"8,888,355",109 minutes,Sony Pictures
"Four friends stumble into a deal too good to refuse. But when the investment goes bad, they learn that part of their funding came from a notoriously ruthless crime boss...and it's payback time. Now, they must successfully kidnap a family member of a rival kingpin in order to erase the life-threatening debt. In way over their heads, if they can complete the assigned task without screwing up, they just might escape with their lives.",NR,Drama,Jackie Earle Haley,Robert Lowell,2015-11-20,"Feb 16, 2016",,,94 minutes,
"A misplaced sausage and his savory friends embark on an existential adventure through the aisles of a massive supermarket in this raunchy animated comedy from Seth Rogen and Evan Goldberg. As the store's annual 4th of July sale draws near, the perishable pals must return to their rightful places on the shelves before the customers come flooding in to fill their carts. Conrad Vernon (Monsters vs. Aliens) takes the helm for this Sony Pictures/AnnaPurna Pictures co-production penned by Rogen, Goldberg, Kyle Hunter, and Ariel Shaffirwhich.",R,Animation|Comedy,Conrad Vernon|Greg Tiernan,Kyle Hunter|Ariel Shaffir|Seth Rogen|Evan Goldberg,2016-08-12,"Nov 8, 2016",$,"97,661,826",89 minutes,Sony Pictures
"One of the most expensive films ever produced in China, the historical action epic Dragon Blade takes place during the Han Dynasty. The story centers on the commander of the Protection Squad of the Western Regions (Jackie Chan), who joins forces with Roman general Lucius (John Cusack) to protect China's sovereignty as power-crazed Tiberius (Adrien Brody) seeks to defeat Lucius once and for all.",R,Action and Adventure|Art House and International|Drama,Daniel Lee,Daniel Lee,2015-09-04,"Dec 22, 2015",$,"72,413",103 minutes,
"When charismatic terrorist Adam Qasim escapes from MI5 custody during a routine handover, the legendary Harry Pearce, Head of Counter-terrorism, is blamed. Disgraced and forced to resign, no-one is surprised when Harry disappears one night off a bridge into the Thames...With MI5 on its knees in the wake of the Qasim debacle and facing controversial reform, former agent Will Crombie is brought back to uncover the truth they feared - Harry's still alive. He's gone rogue, and needs Will's help. As Qasim prepares his devastating attack on the heart of MI5 in London, Will must decide whether to turn Harry in - or risk everything by trusting the damaged, dangerous master spy who has already betrayed him once before...",R,Action and Adventure|Art House and International|Drama|Mystery and Suspense,Bharat Nalluri,Samuel Vincent|Jonathan Brackley|Sam Vincent,2015-12-04,"Feb 9, 2016",,,104 minutes,
"Mark Felt - The Man Who Brought Down the White House centers on ""Deep Throat"", the pseudonym given to the notorious whistleblower for one of the greatest scandals of all time, Watergate. The true identity of the secret informant remained a mystery and source of much public curiosity and speculation for more than 30 years. That is until, in 2005, special agent Mark Felt shockingly revealed himself as the tipster. This unbelievable true story chronicles the personal and professional life of the brilliant and uncompromising Felt, who risked and ultimately sacrificed everything - his family, his career, his freedom - in the name of justice.",PG-13,Drama,Peter Landesman,Peter Landesman,2017-09-29,"Jan 9, 2018",$,"766,428",,Sony Pictures Classics
"Starring Shailene Woodley (Fault in Our Stars, Divergent films) and Sam Claflin (Me Before You, The Hunger Games films), ADRIFT is based on the inspiring true story of two sailors who set out to journey across the ocean from Tahiti to San Diego. Tami Oldham (Woodley) and Richard Sharp (Claflin) couldn't anticipate they would be sailing directly into one of the most catastrophic hurricanes in recorded history. In the aftermath of the storm, Tami awakens to find Richard badly injured and their boat in ruins. With no hope for rescue, Tami must find the strength and determination to save herself and the only man she has ever loved. ADRIFT is the unforgettable story about the resilience of the human spirit and the transcendent power of love.",PG-13,Drama|Romance,,Aaron Kandell|Jordan Kandell|David Branson Smith|Aaron Kandell|Jordan Kandell|David Branson Smith,2018-06-01,"Aug 21, 2018",,,120 minutes,STXfilms
